County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k,log1p_rate_per_100k
San Diego,2019-05,0.8649999999999999,72.11827956989247,3.612096774193548,2218.5,0.0,67.89032258064516,55.0,15.0,152.27,2934.2034,15647.9261,0.909813797508202,0.6470057490906526
San Diego,2019-06,0.035,71.86475095785441,3.376877394636015,2423.4500000000003,0.0,72.63883141762453,61.0,15.5,860.76,2816.2734,9586.4371,0.8794866709245952,0.6309986921771003
San Diego,2019-07,0.04,70.09623655913978,3.5150537634408603,2613.2166666666667,0.0,76.17204301075269,71.0,22.0,281.03,4498.9195,9735.4557,0.9704680506754156,0.6782711037053966
San Diego,2019-08,0.015,70.3236559139785,3.3344086021505377,2478.8166666666666,0.0,77.21344086021504,68.0,22.5,294.99,6622.5345,6580.6411,1.1827579367606624,0.7805891858312094
San Diego,2019-09,0.055,68.7298611111111,3.283333333333333,2364.6666666666665,0.0,74.88333333333334,65.0,30.0,745.65,3970.1204,8995.9263,1.4253749494295165,0.8859861307587159
San Diego,2019-10,0.0083333333333333,56.52757580929623,3.4526881720430107,2568.5333333333333,0.1666666666666666,66.8225806451613,70.0,35.0,1553.34,5703.4975,10234.8927,1.4253749494295165,0.8859861307587159
San Diego,2019-11,2.248333333333333,61.5516339869281,3.178730158730159,2206.583333333333,0.0,60.649682539682544,73.5,26.5,52.53,3242.9991,5283.9432,1.0917765570098423,0.7380137321855675
San Diego,2019-12,2.85,71.30322580645161,3.4516129032258065,2140.1,0.1666666666666666,56.47870967741935,58.0,16.5,4.69,2473.7932,3643.7722,0.909813797508202,0.6470057490906526
San Diego,2020-01,0.3833333333333333,73.38064516129032,3.2238709677419357,1999.7,0.0,54.78304659498208,66.0,22.0,0.0,3743.4811,4919.7284,1.27325277887419,0.8212117480466242
San Diego,2020-02,0.5966666666666667,59.66729135432284,3.3745689655172413,2179.5,0.0,56.42120689655172,64.0,32.0,0.0,1975.0415,5338.8464,1.3945149482907793,0.8731806835418593
San Diego,2020-03,3.2433333333333336,72.01852180077987,3.618817204301075,2592.75,0.0,60.145607940446645,40.0,16.0,0.0,2443.1936,8529.3911,1.364199405936632,0.8604394470595255
San Diego,2020-04,3.421666666666667,72.72083333333333,3.5644444444444443,2565.15,0.0,64.786,61.0,20.5,0.0,1917.5176,8604.0124,1.1823061518117477,0.7803821854567083
San Diego,2020-05,0.255,68.70645161290322,3.460752688172043,2575.15,0.0,71.48709677419355,70.0,27.0,0.2,2210.4204,5334.5969,0.8488351859161266,0.6145558115559795
San Diego,2020-06,0.235,67.98849206349206,3.372777777777777,2429.0333333333333,0.0,74.11738095238094,62.5,24.0,11.3,2534.4731,7257.0801,1.27325277887419,0.8212117480466242
San Diego,2020-07,0.2266666666666666,67.52889784946237,3.1521505376344088,2343.733333333333,0.0,76.73602150537634,67.0,21.0,106.08,2943.5718,8293.2439,0.8185196435619791,0.5980227874552912
San Diego,2020-08,0.0083333333333333,68.00333086145099,3.005376344086021,2232.9,0.0,78.50698924731182,74.0,27.0,0.1,3956.5905,5479.278,1.121675067103453,0.7522059026909017
San Diego,2020-09,0.0066666666666666,63.082081807081806,3.1245299145299144,1920.85,0.0,74.96482905982906,87.0,56.5,0.0,3274.2266,5164.8304,1.1823061518117477,0.7803821854567083
San Diego,2020-10,0.095,55.92369198901457,2.9717741935483875,2177.55,0.0,70.5613287250384,92.0,35.0,1.1,3937.3841,7892.0028,1.3338838635824848,0.8475337740927276
San Diego,2020-11,1.471666666666667,57.6,3.224166666666666,2014.3666666666668,0.5,61.35722222222222,84.0,34.5,0.0,2285.7125,4862.0572,1.0913595247493055,0.7378143448102742
San Diego,2020-12,0.4216666666666667,51.946608767576514,3.469489247311828,2527.016666666667,0.1666666666666666,53.74890552995392,84.0,31.0,0.0,1775.5867,3544.2064,1.0913595247493055,0.7378143448102742
San Diego,2021-01,1.385,59.1505376344086,3.545161290322581,2636.4333333333334,0.6666666666666666,53.27580645161291,77.0,30.0,6.28,3125.113,4925.378,1.457577215152973,0.8991759927502488
San Diego,2021-02,0.1266666666666666,62.11904761904762,3.431547619047619,2304.633333333333,0.0,56.02916666666667,65.0,35.0,12.3,2090.2099,4761.1262,1.3968448311882655,0.8741532187670801
San Diego,2021-03,0.8583333333333334,62.5620347394541,3.85,2864.616666666667,0.0,57.91774193548387,50.0,18.5,7.1000000000000005,2792.2014,3433.8059,1.1235491033470832,0.7530887942839576
San Diego,2021-04,0.1566666666666666,63.16111111111112,3.485,2510.833333333333,0.0,64.77666666666667,59.5,23.0,14.03,1811.4681,5791.8236,0.6073238396470719,0.4745705845908912
San Diego,2021-05,0.0483333333333333,67.87096774193549,3.703763440860216,2755.9500000000003,0.0,69.04784946236559,59.0,24.0,122.92,2570.196,7423.6693,1.1235491033470832,0.7530887942839576
San Diego,2021-06,0.0083333333333333,67.22777777777777,3.4966666666666666,2516.733333333333,0.0,73.75833333333333,55.5,26.0,365.61,3068.1936,19788.4226,1.0931829113647296,0.7386858316018007
San Diego,2021-07,0.055,67.59139784946237,3.3591397849462368,2496.9,0.0,79.19516129032257,56.0,22.5,155.94,4079.3003,5270.7128,1.1235491033470832,0.7530887942839576
