County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
Kern,2023-02,2.5374999999999996,59.401785714285715,4.0910714285714285,2749.35,0.75,49.691964285714285,53.0,29.5,9.0,22368.6115,31719.4152,17.63336055483369
Kern,2023-03,2.0325,65.44354838709677,4.450806451612904,3310.95,0.0,54.21451612903226,30.0,15.0,13.0,50714.0248,16312.7463,18.955862596446217
Kern,2023-04,0.0025,48.266666666666666,4.075,2934.4,0.5,61.373333333333335,51.5,34.0,140.0,79391.6915,52345.6013,14.988356471608636
Kern,2023-05,0.1875,45.41935483870968,4.418548387096774,3283.625,0.25,71.30887096774194,48.0,40.0,348.0,140056.8024,45893.6799,17.41294354789827
Kern,2023-06,0.4525,44.34166666666667,4.110833333333334,2958.8,0.0,77.50666666666666,55.0,41.0,886.0,143884.1164,57790.1849,21.04982416233272
Kern,2023-07,0.215,33.08064516129032,3.443548387096774,2564.225,0.0,84.72258064516129,59.0,52.0,121004.0,121591.185,37168.6302,22.04170069354211
Kern,2023-08,1.22,41.51084538375973,3.6653225806451615,2724.275,0.0,83.66854838709678,60.0,49.0,384211.0,47803.7943,20522.3132,26.450040832250533
Kern,2023-09,0.0625,48.075,3.52,2535.375,0.0,78.71083333333334,58.5,57.0,973.0,17109.0911,16660.0975,28.323585391201615
Kern,2023-10,0.3225,49.37903225806451,3.0411290322580644,2263.375,0.0,71.18467741935484,61.0,57.0,3260.0,14199.364,8974.3246,37.14026566861846
Kern,2023-11,0.1775,51.22959770114942,2.9733333333333336,2141.425,0.0,60.36666666666666,67.5,53.5,604.0,9280.4071,5805.0697,50.0346605743406
Kern,2023-12,0.9125,69.56451612903226,2.7088709677419356,2016.3,0.0,54.41129032258064,84.0,51.0,3786.0,7049.6117,5767.0829,52.679664657565645
Kern,2024-01,1.4325,76.16129032258064,3.141935483870967,2339.05,0.0,53.1293817204301,64.0,26.0,65.0,,,48.11046685656877
Kern,2024-02,2.39,73.33620689655172,3.679310344827586,2560.75,0.25,56.35465517241379,47.0,22.0,3.0,,,31.34799650382761
Kern,2024-03,1.05,61.30645161290323,4.1322580645161295,3073.675,0.0,60.38091397849462,36.0,22.0,12.0,,,23.402150167787973
Kern,2024-04,0.7125,53.13333333333333,4.236666666666666,3049.0,0.25,67.725,46.5,30.0,335.0,,,30.259524403000267
Kern,2024-05,0.1425,38.37903225806451,4.131451612903225,3072.7,0.25,76.43824278438031,48.0,37.0,2513.0,,,28.51796904167651
